aframe-capture session 20260702-080734
target: /dev/cu.usbserial-0001
output: captures/20260702-080734

== GetVersion
  VER.2.00-BLD.001 2019/02/28 17:58:50
== Enter external edit mode
== Probe instrument parameters (algo 0)
=== INST algo=0 prm_num=79 tone=SnappyFramey
  F 11 =    100 | ?Bf:SpaceRHypAsa | PressRele: 100ms
  F 12 =      0 | ?Bf:SpaceRHypAsa | Phones:OFF?     
  F 13 =      1 | ?Bf:SpaceRHypAsa | SpaceR Sw:ON?   
  F 14 =      1 | ?Bf:SpaceRHypAsa | FxMtrx:MasterIns
  F 15 =      0 | ?Bf:SpaceRHypAsa | Comp Sw:OFF?    
  F 16 =   -120 | ?Bf:SpaceRHypAsa | CompThrs:-12.0dB
  F 17 =     10 | ?Bf:SpaceRHypAsa | CompRatio:  2:1?
  F 18 =      1 | ?Bf:SpaceRHypAsa | CompKnee:SOFT1? 
  F 19 =     50 | ?Bf:SpaceRHypAsa | CompAtck:  5.0ms
  F 20 =    300 | ?Bf:SpaceRHypAsa | CompRele:  300ms
  F 21 =      0 | ?Bf:SpaceRHypAsa | CompGain: +0.0dB
=== FX9 algo=9 prm_num=18 tone=SpaceZMadTem
  F  0 =     10 | ?Bf:SpaceZMadTem | Spread:10?      
  F  1 =      1 | ?Bf:SpaceZMadTem | DlySw:ON?       
  F  2 =   2500 | ?Bf:SpaceZMadTem | DTime L: 250.0ms
  F  3 =   5000 | ?Bf:SpaceZMadTem | DTime R: 500.0ms
  F  4 =   9000 | ?Bf:SpaceZMadTem | DTimeFB: 900.0ms
  F  5 =     36 | ?Bf:SpaceZMadTem | DlyFeedback: 36?
  F  6 =     25 | ?Bf:SpaceZMadTem | DlyWetLev: 25?  
  F  7 =    100 | ?Bf:SpaceZMadTem | DlyDryLev:100?  
  F  8 =      0 | ?Bf:SpaceZMadTem | Phones:OFF?     
  F  9 =      1 | ?Bf:SpaceZMadTem | SpaceZ Sw:ON?   
  F 10 =      1 | ?Bf:SpaceZMadTem | FxMtrx:MasterIns
  F 11 =      1 | ?Bf:SpaceZMadTem | Comp Sw:ON?     
  F 12 =   -120 | ?Bf:SpaceZMadTem | CompThrs:-12.0dB
  F 13 =     10 | ?Bf:SpaceZMadTem | CompRatio:  2:1?
  F 14 =      1 | ?Bf:SpaceZMadTem | CompKnee:SOFT1? 
  F 15 =     50 | ?Bf:SpaceZMadTem | CompAtck:  5.0ms
  F 16 =    300 | ?Bf:SpaceZMadTem | CompRele:  300ms
  F 17 =      0 | ?Bf:SpaceZMadTem | CompGain: +0.0dB
== Restore selections
  saved param_probe.txt (16090 bytes)
== Leave external edit mode
